Uniprot,#Peptides_Macron2018A,#Peptides_Macron2020,#Peptides_Zhang2015,#Peptides_Guldbrandsen2014,#Peptides_Macron2018B,#Peptides_Schutzer2010,#Peptides_NunezGalindo2015,#Peptides_Zougman2007,#Peptides_Schilde2018,#Peptides_Guo2015,#Peptides_Stoop2010,#Studies
P26842,1.0,,,2.0,,,,,,,,2
P51116,1.0,3.0,,,,,,,,,,2
Q15582,23.0,33.0,28.0,38.0,20.0,46.0,10.0,6.0,9.0,18.0,,10
P11021,31.0,32.0,32.0,42.0,30.0,37.0,7.0,7.0,9.0,24.0,,10
Q15555,2.0,3.0,,,1.0,,,,,,,3
A6NGN9,6.0,6.0,8.0,8.0,5.0,12.0,,,,,,6
B5ME19,1.0,,,,,,,,,,,1
P06307,7.0,10.0,3.0,,3.0,5.0,1.0,,,4.0,,7
Q15517,2.0,3.0,,,,,,,,,,2
P21291,6.0,7.0,3.0,6.0,3.0,,,,,,,5
P21281,1.0,,,,,3.0,,,,,,2
P48444,2.0,2.0,,,,,,,,,,2
P21246,7.0,8.0,6.0,3.0,6.0,1.0,3.0,4.0,3.0,10.0,2.0,11
O00634,1.0,,,,,,,,,,,1
Q7L1W4,1.0,,,,,,,,,,,1
Q53FP2,1.0,,,,,,,,,,,1
O00622,5.0,7.0,3.0,1.0,3.0,,,,,,,5
P83876,1.0,,,,,,,,,,,1
P16562,1.0,,,,1.0,,,,,,,2
Q9P206,1.0,2.0,,,,,,,,,,2
A6NGB9,2.0,2.0,,,,,,,,,,2
Q7L266,2.0,2.0,7.0,3.0,,,,,,,,4
Q99795,1.0,,,,,,,,,,,1
P51991,2.0,2.0,8.0,,2.0,,,,,,,4
Q99784,10.0,12.0,12.0,18.0,6.0,5.0,1.0,,,8.0,,8
Q7L1S5,1.0,3.0,,,,,,,,,,2
P16519,10.0,10.0,14.0,7.0,6.0,3.0,2.0,,3.0,,,8
P13647,20.0,15.0,18.0,20.0,8.0,2.0,,,,,,6
P51956,1.0,,,,,,,,,,,1
Q99741,1.0,,,,,,,,,,,1
Q99733,1.0,,,1.0,,,,,,,,2
P13667,12.0,17.0,23.0,15.0,8.0,9.0,,,,,,6
Q99727,3.0,2.0,7.0,5.0,1.0,3.0,,2.0,,,,7
P63316,1.0,,,1.0,,,,,,,,2
P58658,1.0,,3.0,,,,,,,,,2
P63313,7.0,6.0,,2.0,6.0,8.0,3.0,,,,,6
Q99715,38.0,38.0,66.0,32.0,6.0,4.0,,,,,,6
P82094,1.0,2.0,,,1.0,,,,,,,3
P63302,2.0,,,1.0,1.0,,,,,,,3
P51911,3.0,3.0,,,,,,,,,,2
P13693,1.0,2.0,2.0,5.0,1.0,,,,,,,5
Q99700,1.0,2.0,,,,,,,,,,2
Q6FHJ7,5.0,8.0,7.0,8.0,5.0,2.0,2.0,,2.0,,,8
Q63HQ2,2.0,7.0,17.0,10.0,1.0,4.0,,,,,,6
Q8WUM4,2.0,6.0,21.0,3.0,1.0,8.0,,,,,,6
P38159,6.0,11.0,3.0,,3.0,,,,,,,4
B5MCY1,2.0,,,,,,,,,,,1
Q53FA7,1.0,2.0,7.0,,,,,,,,,3
