ct;ROW;iddisease;Disease;Marker;MarkerID;Score;starCount
52;13600;1307;dementia;HAD;Q16836;0;
3;51835;1307;dementia;HDS;Q86SQ9;5.058e-12;
1;213771;1307;dementia;HE4;Q14508;4.324e-03;
1;103779;1307;dementia;HEP;Q9Y251;4.631e-01;
2;158476;1307;dementia;HGF;P14210;6.855e-02;
1;511179;1307;dementia;HIF1;Q9BYW2;8.818e-01;
9;123791;1307;dementia;HIP;Q96QV1;1.470e-04;
5;108701;1307;dementia;HIS;P42357;2.407e-18;
2;25022;1307;dementia;HLADRB1;P01911;9.073e-01;
3;210397;1307;dementia;HMGB1;P09429;2.422e-02;
4;312759;1307;dementia;HMGCR;P04035;6.905e-02;
1;264895;1307;dementia;HMR;P22736;2.343e-01;
1;361828;1307;dementia;HO1;P09601;2.616e-01;
4;488249;1307;dementia;HPA;Q9Y251;9.015e-01;
2;198443;1307;dementia;HRB;P52594;4.976e-10;
1;463460;1307;dementia;HRK;O00198;1.139e-03;
24;17148;1307;dementia;HRS;P12081;1.507e-08;
1;346281;1307;dementia;HSF1;Q00613;1.000e+00;
2;4282;1307;dementia;HTT;P31645;5.105e-01;
2;70636;1307;dementia;IAPP;P10997;2.159e-03;
6;12189;1307;dementia;ICAM1;P05362;9.653e-01;
1;223887;1307;dementia;IDD;P98153;8.317e-01;
16;70655;1307;dementia;IGF1;P05019;4.265e-01;
1;124614;1307;dementia;IGF1R;P08069;5.680e-02;
6;125775;1307;dementia;IGFBP2;P18065;6.263e-02;
3;304073;1307;dementia;IGFBP3;P17936;1.292e-01;
6;187282;1307;dementia;IL10;P22301;2.596e-03;
2;123168;1307;dementia;IL15;P40933;1.000e+00;
1;424631;1307;dementia;IL16;Q14005;1.000e+00;
1;307099;1307;dementia;IL17;Q16552;6.949e-03;
3;97363;1307;dementia;IL18;Q14116;5.732e-02;
2;120112;1307;dementia;IL1RA;P14778;8.758e-01;
2;307096;1307;dementia;IL2;P60568;3.315e-02;
1;187278;1307;dementia;IL22;Q9GZX6;4.668e-01;
2;120114;1307;dementia;IL33;O95760;2.112e-01;
2;307100;1307;dementia;IL4;P05112;3.051e-02;
44;1049;1307;dementia;IL6;P05231;2.770e-03;
3;260528;1307;dementia;IL7;P13232;2.897e-01;
8;80641;1307;dementia;IL8;P10145;2.713e-02;
3;112963;1307;dementia;IPL;Q53GA4;1.356e-04;
1;600;1307;dementia;IQCK;Q8N0W5;1.139e-03;
1;131080;1307;dementia;IRR;P14616;1.000e+00;
2;73043;1307;dementia;IRS1;P35568;8.097e-01;
1;109260;1307;dementia;ITGAV;P06756;3.054e-01;
1;109264;1307;dementia;ITGB5;P18084;8.783e-02;
1;162167;1307;dementia;KCNA2;P16389;1.139e-03;
2;82412;1307;dementia;KIAA0319;Q5VV43;1.975e-01;
4;130686;1307;dementia;KLK6;Q92876;4.161e-01;
1;36692;1307;dementia;KNS;P33176;1.139e-03;
2;296723;1307;dementia;L1CAM;P32004;1.000e+00;
16;83927;1307;dementia;LAD;P09622;9.264e-01;
2;296712;1307;dementia;LAMP1;P11279;4.035e-01;
4;105677;1307;dementia;LBP;P18428;4.392e-01;
2;310576;1307;dementia;LCN2;P80188;5.247e-01;
1;41248;1307;dementia;LDLR;P01130;1.000e+00;
2;148863;1307;dementia;let7;MI0000434;8.596e-01;
1;118628;1307;dementia;let7b;MI0000063;1.000e+00;
1;332638;1307;dementia;LGI1;O95970;1.000e+00;
6;40728;1307;dementia;LPA;P08519;1.477e-01;
1;95445;1307;dementia;LPC;Q16549;1.000e+00;
1;337555;1307;dementia;LPO;P22079;1.000e+00;
5;244277;1307;dementia;LRP;Q14764;9.617e-05;
2;35935;1307;dementia;LRP10;O75096;5.315e-04;
1;369393;1307;dementia;MAG;P20916;7.619e-01;
2;297481;1307;dementia;MAOA;P21397;1.138e-01;
3;40538;1307;dementia;MAOB;P27338;5.727e-04;
3;98494;1307;dementia;MAP;Q96HU1;1.000e+00;
99;3247;1307;dementia;MAPT;P10636;1.430e-273;
1;267322;1307;dementia;MARCKS;P29966;7.238e-01;
1;246689;1307;dementia;MARS;P56192;3.392e-01;
3;65223;1307;dementia;MATR3;P43243;1.432e-03;
4;515725;1307;dementia;MBP;P13727;7.259e-01;
2;327381;1307;dementia;MBR;P30536;1.821e-02;
2;484792;1307;dementia;MC4R;P32245;9.509e-01;
1;187386;1307;dementia;MCC;P23508;1.168e-01;
2338;3;1307;dementia;MCI;D6RGH6;0;
5;125420;1307;dementia;MCP1;P13500;9.501e-02;
10;23978;1307;dementia;MCR;P08235;1.388e-45;
1;158983;1307;dementia;MDM2;Q00987;4.159e-02;
2;511833;1307;dementia;MDP;P16444;6.245e-05;
1;268780;1307;dementia;MDS;P43034;1.325e-04;
1;117684;1307;dementia;MFGE8;Q08431;1.000e+00;
4;332575;1307;dementia;MIC1;Q96DM3;4.660e-01;
8;152742;1307;dementia;MIF;P03971;1.552e-01;
