Protein IDs;Gene name;Protein name;Unique peptides K1.1;Unique peptides K1.2;Unique peptides K1.3;Unique peptides K2.1;Unique peptides K2.2;Unique peptides K2.3;Unique peptides K5.1;Unique peptides K5.2;Unique peptides K5.3;Unique peptides K8.1;Unique peptides K8.2;Unique peptides K8.3;Unique peptides K13.1;Unique peptides K13.2;Unique peptides K13.3;Unique peptides K14.1;Unique peptides K14.2;Unique peptides K14.3;Unique peptides K26.1;Unique peptides K26.2;Unique peptides K26.3;Unique peptides K33.1;Unique peptides K33.2;Unique peptides K33.3;Unique peptides K36.1;Unique peptides K36.2;Unique peptides K36.3;Unique peptides K38.1;Unique peptides K38.2;Unique peptides K38.3;Unique peptides K39.1;Unique peptides K39.2;Unique peptides K39.3;Unique peptides K40.1;Unique peptides K40.2;Unique peptides K40.3;LFQ intensity K1.1;LFQ intensity K1.2;LFQ intensity K1.3;LFQ intensity K2.1;LFQ intensity K2.2;LFQ intensity K2.3;LFQ intensity K5.1;LFQ intensity K5.2;LFQ intensity K5.3;LFQ intensity K8.1;LFQ intensity K8.2;LFQ intensity K8.3;LFQ intensity K13.1;LFQ intensity K13.2;LFQ intensity K13.3;LFQ intensity K14.1;LFQ intensity K14.2;LFQ intensity K14.3;LFQ intensity K26.1;LFQ intensity K26.2;LFQ intensity K26.3;LFQ intensity K33.1;LFQ intensity K33.2;LFQ intensity K33.3;LFQ intensity K36.1;LFQ intensity K36.2;LFQ intensity K36.3;LFQ intensity K38.1;LFQ intensity K38.2;LFQ intensity K38.3;LFQ intensity K39.1;LFQ intensity K39.2;LFQ intensity K39.3;LFQ intensity K40.1;LFQ intensity K40.2;LFQ intensity 40.3
P01023;A2M;Alpha-2-macroglobulin;44;50;47;45;44;48;47;45;46;49;47;46;50;48;50;50;50;52;47;48;45;48;49;41;49;49;47;47;48;52;47;50;49;49;50;49;2368700000;2457200000;2638000000;1978700000;2338400000;2348200000;2251300000;1954300000;2316100000;2235300000;1961100000;2104800000;2638100000;2916700000;2594200000;2997900000;2590000000;3046700000;2241400000;2320600000;2278600000;2128000000;2049800000;1799300000;2263100000;2313500000;2235600000;2440600000;2713600000;2529100000;2432100000;2350300000;2385200000;2445600000;2493600000;2314100000
P01024;C3;Complement C3;71;80;80;70;68;77;72;68;78;69;67;66;76;68;67;68;80;83;69;65;65;74;76;74;71;73;68;71;69;74;69;70;77;74;79;73;6371200000;5631900000;5824600000;4536700000;4092900000;3874800000;4716800000;4831900000;4943100000;3660900000;3634500000;3739300000;4233100000;4481800000;4457900000;5861400000;6124500000;5987400000;4131700000;4216600000;3719800000;5949800000;6013700000;5894800000;5951100000;5788900000;5454800000;4497300000;4701500000;4794900000;6353000000;6183500000;6071600000;6620600000;6689200000;5790300000
P01031;C5;Complement C5;16;19;19;16;14;12;18;15;17;13;15;13;15;18;15;20;23;22;12;18;16;23;23;19;20;19;16;19;15;18;19;20;19;23;28;19;89677000;67193000;79621000;62120000;60312000;59689000;61963000;61846000;60717000;43450000;47212000;60550000;46735000;57893000;66526000;97534000;101200000;95054000;53419000;57927000;44776000;96680000;89282000;101330000;89650000;77418000;74179000;62141000;67580000;63790000;97278000;92581000;83126000;145430000;119850000;77436000
P01033;TIMP1;Metalloproteinase inhibitor 1;7;7;7;7;7;7;7;5;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;6;7;7;7;7;144650000;135340000;126620000;91452000;122880000;103420000;129260000;156500000;165410000;112770000;103980000;100530000;124220000;120110000;127700000;112250000;123210000;113820000;124790000;114910000;115320000;118180000;100640000;95524000;134690000;150000000;138220000;114910000;131990000;128310000;149370000;156030000;167060000;117800000;101760000;150030000
P01034;CST3;Cystatin-C;11;11;13;11;11;11;11;11;10;11;11;11;11;11;10;11;11;11;11;11;11;11;11;11;10;11;11;11;10;11;11;11;11;11;11;11;3964700000;5343000000;4833200000;5277900000;4615400000;4416800000;4065600000;2784700000;4364800000;5573200000;4233700000;3333100000;5542600000;4821700000;3465600000;4708500000;3979000000;4331200000;5072000000;5375700000;5309900000;4494000000;4589300000;3423300000;3917200000;3574700000;3531300000;5473000000;4424400000;5331700000;3486300000;5059700000;4928500000;3953600000;4032000000;3575600000
P01042;KNG1;Kininogen-1;14;15;14;13;13;15;15;12;15;12;12;14;13;12;12;16;15;16;14;15;12;14;16;15;16;14;14;15;12;12;13;15;14;15;15;14;830410000;655480000;572310000;520350000;417010000;407390000;664890000;706380000;581580000;383930000;392750000;464380000;404330000;415330000;415940000;588280000;676860000;563920000;546780000;495950000;520950000;827560000;655380000;869460000;700040000;654530000;740810000;566940000;489240000;508250000;944340000;986650000;903560000;818240000;704490000;654680000
P01210;PENK;Proenkephalin-A;5;5;5;4;3;4;5;4;5;5;5;5;5;5;5;5;4;5;5;5;5;5;6;4;4;5;4;5;5;5;5;6;5;5;4;5;78944000;63549000;66463000;86561000;63381000;67588000;58024000;65793000;50556000;116480000;89587000;85455000;77304000;67428000;66479000;55490000;50791000;60368000;63797000;64683000;62748000;64025000;62776000;65704000;45752000;50218000;41046000;71728000;55827000;58715000;75673000;73664000;66459000;63452000;72769000;50230000
P01213;PDYN;Proenkephalin-B;1;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;1;2;1;1;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2826200;0;0;0;0;0;0;0;0;0;0;0;0;0;2323100;0
P01344;IGF2;Insulin-like growth factor II;4;4;4;4;3;3;4;3;4;4;4;3;4;4;4;3;3;4;3;4;3;4;3;3;5;3;4;4;3;3;3;3;5;3;3;3;97276000;73499000;90540000;85225000;65019000;45940000;102890000;100170000;88901000;112210000;86469000;83955000;88639000;82258000;84765000;54051000;87284000;56825000;86950000;81443000;77914000;71828000;68979000;77987000;83699000;102320000;91043000;83911000;82325000;72012000;70971000;64552000;75649000;71728000;69998000;102350000
P01591;JCHAIN;Immunoglobulin J chain;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;2;1;1;0;0;1;1;1;1;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4731600;6831600;0;0;0;0;0;0;3320900;0;0;0;0;0;5662700;6387600;5652000;15087000;16306000;33116000;0;0;0
