No.	UniProtKB ID	Entry Name	Organism	Gene Name
130	O35188	X3CL1_MOUSE	Mus musculus (Mouse)	Cx3cl1
131	P97792	CXAR_MOUSE	Mus musculus (Mouse)	Cxadr
132	Q8BSU2	CXL16_MOUSE	Mus musculus (Mouse)	Cxcl16
133	Q14118	DAG1_HUMAN	Homo sapiens (Human)	DAG1
134	Q08345	DDR1_HUMAN	Homo sapiens (Human)	DDR1
135	P80370	DLK1_HUMAN	Homo sapiens (Human)	DLK1
136	P16444	DPEP1_HUMAN	Homo sapiens (Human)	DPEP1
137	P27487	DPP4_HUMAN	Homo sapiens (Human)	DPP4
138	Q14574	DSC3_HUMAN	Homo sapiens (Human)	DSC3
139	Q02413	DSG1_HUMAN	Homo sapiens (Human)	DSG1
140	Q14126	DSG2_HUMAN	Homo sapiens (Human)	DSG2
141	P32926	DSG3_HUMAN	Homo sapiens (Human)	DSG3
142	Q62165	DAG1_MOUSE	Mus musculus (Mouse)	Dag1
143	Q63155	DCC_RAT	Rattus norvegicus (Rat)	Dcc
144	Q09163	DLK1_MOUSE	Mus musculus (Mouse)	Dlk1
145	Q61483	DLL1_MOUSE	Mus musculus (Mouse)	Dll1
146	P28843	DPP4_MOUSE	Mus musculus (Mouse)	Dpp4
147	Q9ERC8	DSCAM_MOUSE	Mus musculus (Mouse)	Dscam
148	O00559	RCAS1_HUMAN	Homo sapiens (Human)	EBAG9
149	P42892	ECE1_HUMAN	Homo sapiens (Human)	ECE1
150	Q92838	EDA_HUMAN	Homo sapiens (Human)	EDA
151	Q9HAV5	TNR27_HUMAN	Homo sapiens (Human)	EDA2R
152	P24530	EDNRB_HUMAN	Homo sapiens (Human)	EDNRB
153	P20827	EFNA1_HUMAN	Homo sapiens (Human)	EFNA1
154	P98172	EFNB1_HUMAN	Homo sapiens (Human)	EFNB1
155	P01133	EGF_HUMAN	Homo sapiens (Human)	EGF
156	P00533	EGFR_HUMAN	Homo sapiens (Human)	EGFR
157	P17813	EGLN_HUMAN	Homo sapiens (Human)	ENG
