From	Entry
ENSP00000326381	Q14240
ENSP00000302961	P34932
ENSP00000254301	P17931
ENSP00000219207	Q9Y342
ENSP00000378743	P27144
ENSP00000327054	Q03252
ENSP00000379191	P13987
ENSP00000296412	P11766
ENSP00000379838	Q9Y2V2
ENSP00000412189	Q8N0Y7
ENSP00000392718	P0CG38
ENSP00000339795	P18124
ENSP00000384638	P26232
ENSP00000252711	O95299
ENSP00000418529	Q9UNZ2
ENSP00000346088	P35268
ENSP00000217901	P51553
ENSP00000429301	O15173
ENSP00000380308	Q13409
ENSP00000308610	P43304
ENSP00000363018	P62906
ENSP00000430706	Q6IS14
ENSP00000358548	P01111
ENSP00000246151	Q9GZP4
ENSP00000339720	O00483
ENSP00000330737	Q9UI09
ENSP00000440045	P16615
ENSP00000310275	O75531
ENSP00000379138	P02771
ENSP00000299138	Q96QK1
ENSP00000463559	O14950
ENSP00000356652	Q9HB71
ENSP00000267512	P59190
ENSP00000336829	P02679
ENSP00000014930	Q9NRV9
ENSP00000312066	Q9UHB9
ENSP00000306362	O75347
ENSP00000216218	P50502
ENSP00000262570	Q9NX63
ENSP00000324628	Q99747
ENSP00000215829	P62318
ENSP00000264663	Q13423
ENSP00000428209	Q15819
ENSP00000478892	P19086
ENSP00000378769	P62140
ENSP00000354791	A0A804CDA6
ENSP00000364935	O00299
ENSP00000217652	P19105
ENSP00000387123	P49419
ENSP00000293831	P60842
ENSP00000386717	P62899
ENSP00000309830	P63173
ENSP00000222120	O95716
ENSP00000307889	P26373
ENSP00000339659	Q9C040
ENSP00000361927	P55795
ENSP00000360021	Q9UBI6
ENSP00000357076	P37802
ENSP00000421725	P02774
ENSP00000296684	O43181
ENSP00000252486	P02649
ENSP00000216181	P35579
ENSP00000480853	F8VXU5
ENSP00000305995	P07205
ENSP00000340454	P52306
ENSP00000348170	P00738
ENSP00000298251	Q14CZ8
ENSP00000297283	P15259
ENSP00000401564	F6WQW2
ENSP00000355387	Q8TAC9
ENSP00000353444	P61020
ENSP00000346067	P08865
ENSP00000265717	P31323
ENSP00000265077	P13611
ENSP00000361626	P67809
ENSP00000378306	P16298
ENSP00000385385	Q15084
ENSP00000481314	Q9UMY4
ENSP00000346027	P46778
ENSP00000276689	Q9Y6M9
ENSP00000222374	Q8NFZ8
ENSP00000359098	H0UI06
ENSP00000472469	P62857
ENSP00000242315	Q9UPV7
ENSP00000290354	O75828
ENSP00000363054	Q86Y82
ENSP00000312734	Q92930
ENSP00000378394	P07602
ENSP00000272519	P11234
ENSP00000300231	P78559
ENSP00000332287	O43759
ENSP00000327832	Q5SQI0
ENSP00000380033	A0A5H1ZRQ2
ENSP00000346015	P46776
ENSP00000290158	Q14974
ENSP00000355759	P09874
ENSP00000346037	P05386
ENSP00000273359	Q9NUJ1
ENSP00000327116	Q9NZN3
ENSP00000322450	P49821
ENSP00000452123	Q13243
ENSP00000342710	Q7Z794
ENSP00000377036	Q15257
ENSP00000254079	Q9UD71
ENSP00000223321	P25787
ENSP00000428085	P62888
ENSP00000376345	P62993
ENSP00000350364	Q7Z3B1
ENSP00000363624	O60888
ENSP00000303145	P49755
ENSP00000434727	A0A6E1Y6F7
ENSP00000252245	O95678
ENSP00000262193	P20618
ENSP00000405965	P61956
ENSP00000353414	Q01814
ENSP00000478479	Q9NP72
ENSP00000230050	P25398
ENSP00000345848	Q92688
ENSP00000371230	Q9UIJ7
ENSP00000383392	O15394
ENSP00000379203	P21283
ENSP00000223500	Q9NZZ3
ENSP00000382177	Q9Y4I1
ENSP00000423673	Q9P0J0
ENSP00000371594	O60262
ENSP00000306099	P02675
ENSP00000483688	P49720
ENSP00000373905	P50570
ENSP00000356602	Q9NP79
ENSP00000217426	P23526
ENSP00000481022	O15126
ENSP00000356110	Q9H1E3
ENSP00000290401	Q9Y639
ENSP00000354632	P00846
ENSP00000329662	Q92522
ENSP00000372155	Q06323
ENSP00000245304	P10114
ENSP00000261735	P30040
ENSP00000229379	P12074
ENSP00000396722	Q9P121
ENSP00000259037	O43674
ENSP00000323856	Q15149
ENSP00000318687	Q92598
ENSP00000262584	P62917
ENSP00000217515	O43396
ENSP00000447053	P51148
ENSP00000220764	Q16698
ENSP00000472985	P46782
ENSP00000357206	P48681
ENSP00000387176	P0CG39
ENSP00000345361	Q9BPX5
ENSP00000363500	Q9Y696
ENSP00000289228	P42025
ENSP00000421076	Q7Z4Y8
ENSP00000361602	Q96F45
ENSP00000359345	P46777
ENSP00000301785	Q1KMD3
ENSP00000310219	P17066
ENSP00000428895	P09669
ENSP00000263270	P53680
ENSP00000381717	P62837
ENSP00000370125	P05114
ENSP00000332887	Q9UDW1
ENSP00000360473	Q9NQP4
ENSP00000353375	P27816
ENSP00000456226	Q7Z6L0
ENSP00000349722	P61077
ENSP00000234677	P49591
ENSP00000319096	P61225
ENSP00000379506	P50914
ENSP00000381216	Q92945
ENSP00000346300	P46109
ENSP00000312293	Q13875
ENSP00000419665	Q04837
ENSP00000385269	Q15717
ENSP00000443495	P35609
ENSP00000219313	P51665
ENSP00000480150	Q9Y4L1
ENSP00000236959	P31939
ENSP00000044462	P25789
ENSP00000318176	O75569
ENSP00000454746	H3BN98
ENSP00000281828	Q9NSD9
ENSP00000370724	Q9H0Q0
ENSP00000354681	O60313
ENSP00000240185	Q13148
ENSP00000477639	Q9UJ70
ENSP00000261479	P60900
ENSP00000352522	Q9UI12
ENSP00000370745	Q92499
ENSP00000400433	P52597
ENSP00000368314	Q92823
ENSP00000281154	Q9H0C2
ENSP00000476252	U3KQV3
ENSP00000256854	O43776
ENSP00000300291	O43809
ENSP00000184266	O95168
ENSP00000222673	Q02218
ENSP00000297632	Q6PI78
ENSP00000358857	P50402
ENSP00000250495	Q15843
ENSP00000298316	P62330
ENSP00000341737	Q8NC96
ENSP00000419879	O95674
ENSP00000226004	P51452
ENSP00000381386	P30046
ENSP00000394496	Q9ULV4
ENSP00000394863	A0A2C9F2P4
ENSP00000364490	P30038
ENSP00000299736	Q7Z7K6
ENSP00000278193	Q9NUP9
ENSP00000463784	P61254
ENSP00000379256	P61601
ENSP00000222005	Q16543
ENSP00000362339	Q9NR31
ENSP00000359719	P22694
ENSP00000355228	P05204
ENSP00000314733	Q9H0E2
ENSP00000310129	Q13200
ENSP00000314649	P51649
ENSP00000467466	P62841
ENSP00000257860	P41219
ENSP00000262942	Q92747
ENSP00000296503	P26583
ENSP00000360664	Q96K17
ENSP00000361777	Q01105
ENSP00000369915	Q99733
ENSP00000363899	Q9UFN0
ENSP00000379475	Q13838
ENSP00000301457	O95182
ENSP00000336687	Q13185
ENSP00000221566	O43765
ENSP00000367498	Q8N1G4
ENSP00000273130	Q9Y6G9
ENSP00000321544	O94819
ENSP00000370394	Q7L099
ENSP00000280346	P10515
ENSP00000362592	Q09028
ENSP00000256509	O00533
ENSP00000234038	Q15435
ENSP00000296255	P04843
ENSP00000307508	P22676
ENSP00000377532	P11498
ENSP00000382595	P22234
ENSP00000400717	Q14344
ENSP00000466134	K7ELL7
ENSP00000306788	Q15041
ENSP00000225792	P17844
ENSP00000378163	P49207
ENSP00000356807	O75663
ENSP00000373918	P41250
ENSP00000359910	O14818
