Table S2A. CSF Discovery Differential Expression by T-Test Analysis ;;;;;
       Yellow shaded proteins (n=65) were used in cluster analysis of Figure 1D.  ;;;;;
"       Abbreviations: BH, Benjamini-Hochberg; FDR, False Discovery Rate ";;;;;
;;;;;
Protein ID;Gene Symbol;Brain Module;T-Test CT vs AD;;Log2 Difference
;;;p Value;BH FDR;AD-CT
RAB14|P61106;RAB14;brown;0,3385;0,6677;-0,057
PCDH1|Q08174-2;PCDH1;turquoise;0,3388;0,6677;-0,059
FAM19A2|A0A0C4DGI5;FAM19A2;turquoise;0,3388;0,6677;0,080
ATP2B2|Q01814;ATP2B2;turquoise;0,3399;0,6694;-0,043
RPLP1|P05386;RPLP1;magenta;0,3407;0,6704;-0,133
PAFAH1B2|P68402;PAFAH1B2;grey;0,3415;0,6715;-0,168
MTAP|Q13126-2;MTAP;green;0,3423;0,6723;0,091
SEMA6A|A0A0A0MQU6;SEMA6A;yellow;0,3423;0,6723;-0,046
AZGP1|P25311;AZGP1;midnightblue;0,3431;0,6723;-0,103
CHODL|Q9H9P2;CHODL;NA;0,3434;0,6723;0,043
OGDH|E9PCR7;OGDH;turquoise;0,3434;0,6723;-0,074
SPINK1|P00995;SPINK1;NA;0,3435;0,6723;-0,096
LY6H|O94772-2;LY6H;turquoise;0,3438;0,6723;-0,091
ATP5D|P30049;ATP5D;brown;0,3440;0,6723;-0,156
TBCA|E5RJD8;TBCA;blue;0,3441;0,6723;0,072
ELFN1|P0C7U0;ELFN1;turquoise;0,3442;0,6723;0,073
DSG2|Q14126;DSG2;red;0,3445;0,6724;0,041
BCAM|P50895;BCAM;red;0,3447;0,6724;-0,036
PRRT3|Q5FWE3;PRRT3;turquoise;0,3459;0,6739;-0,051
ACO1|P21399;ACO1;green;0,3463;0,6739;-0,057
ATP6AP2|O75787;ATP6AP2;turquoise;0,3463;0,6739;-0,069
SLC38A10|H0YF92;SLC38A10;black;0,3464;0,6739;0,064
KRT23|Q9C075;KRT23;NA;0,3468;0,6740;0,092
FOLR1|P15328;FOLR1;NA;0,3471;0,6740;-0,071
COL21A1|Q96P44;COL21A1;NA;0,3472;0,6740;-0,046
FBXO2|Q9UK22;FBXO2;blue;0,3482;0,6751;0,058
DNASE1L1|P49184;DNASE1L1;grey;0,3482;0,6751;-0,044
UFM1|P61960;UFM1;blue;0,3491;0,6763;0,070
CHST12|Q9NRB3;CHST12;NA;0,3504;0,6784;0,056
UST|Q9Y2C2;UST;NA;0,3511;0,6790;-0,102
HAL|P42357;HAL;NA;0,3514;0,6790;-0,112
NCAM1|A0A087X1V2;NCAM1;grey;0,3515;0,6790;0,042
C1QTNF4|Q9BXJ3;C1QTNF4;grey;0,3517;0,6790;-0,033
ECM2|O94769;ECM2;NA;0,3546;0,6843;-0,039
FAIM2|Q9BWQ8;FAIM2;tan;0,3552;0,6848;0,056
SLITRK5|O94991;SLITRK5;turquoise;0,3556;0,6848;-0,059
PCMT1|H7BY58;PCMT1;brown;0,3556;0,6848;-0,047
DLG4|P78352-2;DLG4;turquoise;0,3559;0,6849;0,093
MT1F|P04733;MT1F;yellow;0,3567;0,6860;-0,076
LILRB1|Q8NHL6-3;LILRB1;NA;0,3571;0,6860;-0,039
SCN4B|Q8IWT1;SCN4B;pink;0,3572;0,6860;0,061
MET|P08581-2;MET;turquoise;0,3582;0,6862;-0,036
TPST1|O60507;TPST1;NA;0,3586;0,6862;-0,072
ACVR2A|P27037;ACVR2A;turquoise;0,3587;0,6862;-0,034
CA11|O75493;CA11;NA;0,3589;0,6862;-0,093
PVR|A0A0C4DG49;PVR;grey;0,3591;0,6862;-0,047
FLT4|P35916;FLT4;NA;0,3592;0,6862;-0,053
TNR|Q92752;TNR;purple;0,3594;0,6862;0,029
TPM2|P07951-3;TPM2;red;0,3594;0,6862;0,109
DES|P17661;DES;red;0,3594;0,6862;-0,108
CAB39|Q9Y376;CAB39;darkturquoise;0,3600;0,6863;-0,055
GLRX|P35754;GLRX;grey;0,3604;0,6863;0,041
CD99L2|Q8TCZ2;CD99L2;grey;0,3604;0,6863;-0,052
SLC25A3|Q00325;SLC25A3;turquoise;0,3604;0,6863;-0,110
PEPD|P12955;PEPD;darkgrey;0,3616;0,6872;-0,066
AIF1|Q5STX8;AIF1;green;0,3616;0,6872;0,062
METRNL|Q641Q3;METRNL;NA;0,3617;0,6872;-0,034
IL6R|P08887;IL6R;NA;0,3630;0,6893;-0,034
MYCBP2|O75592;MYCBP2;turquoise;0,3636;0,6894;0,051
HLA-C|P04222;HLA-C;lightgreen;0,3637;0,6894;0,122
HDGF|P51858;HDGF;blue;0,3640;0,6894;0,073
DEFB127|Q9H1M4;DEFB127;NA;0,3640;0,6894;-0,122
MXRA8|Q9BRK3-2;MXRA8;NA;0,3646;0,6896;-0,039
ATP1B2|P14415;ATP1B2;turquoise;0,3647;0,6896;-0,043
FBN1|P35555;FBN1;red;0,3648;0,6896;-0,038
AXL|P30530;AXL;NA;0,3654;0,6902;0,025
HSP90AA1|P07900-2;HSP90AA1;darkolivegreen;0,3663;0,6910;0,057
TUBB|P07437;TUBB;purple;0,3663;0,6910;-0,120
PLEKHB2|B7WPA5;PLEKHB2;NA;0,3666;0,6911;-0,044
MILR1|Q7Z6M3;MILR1;NA;0,3671;0,6915;0,053
PRSS8|Q16651;PRSS8;NA;0,3676;0,6915;-0,078
COLEC10|Q9Y6Z7;COLEC10;NA;0,3679;0,6915;-0,086
EIF5A|I3L504;EIF5A;lightcyan;0,3679;0,6915;-0,111
INAFM1|C9JVW0;INAFM1;sienna3;0,3680;0,6915;0,063
FGFR1|P11362-21;FGFR1;skyblue;0,3684;0,6915;-0,045
GPC5|P78333;GPC5;pink;0,3685;0,6915;0,069
PYGB|P11216;PYGB;pink;0,3690;0,6918;-0,086
GRN|P28799;GRN;NA;0,3693;0,6918;-0,024
FLNB|O75369-8;FLNB;green;0,3693;0,6918;-0,193
CREG2|Q8IUH2;CREG2;NA;0,3701;0,6924;-0,091
KLK13|Q9UKR3;KLK13;NA;0,3707;0,6924;-0,097
FBLN7|Q53RD9;FBLN7;NA;0,3708;0,6924;-0,042
CALD1|Q05682;CALD1;red;0,3709;0,6924;0,061
MST1L|Q2TV78;MST1L;NA;0,3709;0,6924;0,074
KIAA1549L|H0YDE5;KIAA1549L;turquoise;0,3711;0,6924;-0,084
SVEP1|A0A0A0MSD0;SVEP1;NA;0,3718;0,6931;-0,060
KRT85|P78386;KRT85;NA;0,3725;0,6940;-0,191
VEGFC|P49767;VEGFC;NA;0,3729;0,6944;0,072
COX5A|H3BNX8;COX5A;brown;0,3731;0,6944;0,107
TBCB|Q99426;TBCB;yellow;0,3741;0,6956;0,047
ARHGDIA|J3QQX2;ARHGDIA;grey;0,3749;0,6959;0,053
GINM1|Q9NU53;GINM1;NA;0,3750;0,6959;-0,042
KCTD12|Q96CX2;KCTD12;lightgreen;0,3751;0,6959;-0,047
PAFAH1B3|Q15102;PAFAH1B3;pink;0,3752;0,6959;-0,073
ATRN|O75882;ATRN;greenyellow;0,3756;0,6962;-0,052
POF1B|Q8WVV4-1;POF1B;NA;0,3766;0,6976;0,099
FAH|P16930;FAH;green;0,3772;0,6982;-0,055
CHRD|Q9H2X0;CHRD;NA;0,3785;0,7003;-0,043
ZYX|Q15942;ZYX;turquoise;0,3793;0,7012;0,050
LAMB1|G3XAI2;LAMB1;grey;0,3799;0,7018;-0,022
DKK3|Q9UBP4;DKK3;green;0,3803;0,7018;-0,093
WSCD1|Q658N2;WSCD1;NA;0,3803;0,7018;-0,030
CD300A|Q9UGN4;CD300A;NA;0,3806;0,7020;0,070
IL1RAP|Q9NPH3-5;IL1RAP;turquoise;0,3810;0,7022;0,064
LEAP2|Q969E1;LEAP2;NA;0,3829;0,7051;-0,136
LRP1B|Q9NZR2;LRP1B;white;0,3831;0,7051;0,045
TYRP1|P17643;TYRP1;NA;0,3833;0,7051;-0,135
ADH1B|P00325;ADH1B;red;0,3841;0,7060;0,160
PDGFRB|P09619;PDGFRB;lightyellow;0,3844;0,7062;-0,048
IGHG4|P01861;IGHG4;midnightblue;0,3847;0,7062;0,180
UNC5C|O95185;UNC5C;yellow;0,3854;0,7071;-0,022
HEPH|Q9BQS7-3;HEPH;NA;0,3863;0,7084;-0,038
PPT1|P50897;PPT1;steelblue;0,3867;0,7085;-0,059
PLTP|P55058;PLTP;cyan;0,3872;0,7085;-0,054
TMEM59|Q9BXS4;TMEM59;NA;0,3876;0,7085;0,053
PTPRF|P10586;PTPRF;turquoise;0,3876;0,7085;-0,035
CREG1|O75629;CREG1;NA;0,3876;0,7085;-0,044
PCDH17|O14917;PCDH17;blue;0,3880;0,7086;-0,042
MOG|Q16653-13;MOG;yellow;0,3882;0,7086;0,035
B2M|H0YL18;B2M;darkgrey;0,3886;0,7089;-0,046
SULF2|Q8IWU5;SULF2;NA;0,3892;0,7092;-0,043
THSD7A|A0A087WY08;THSD7A;red;0,3893;0,7092;0,037
IGHV3-72|A0A087WW89;IGHV3-72;midnightblue;0,3906;0,7108;0,159
CDH23|Q9H251-6;CDH23;NA;0,3906;0,7108;-0,113
LRFN5|Q96NI6;LRFN5;turquoise;0,3915;0,7119;-0,114
ARSK|Q6UWY0;ARSK;NA;0,3926;0,7128;-0,068
SEMA6D|Q8NFY4;SEMA6D;blue;0,3926;0,7128;-0,030
SCRG1|O75711;SCRG1;grey;0,3927;0,7128;0,052
MYH9|P35579;MYH9;red;0,3935;0,7138;-0,058
HARS|P12081;HARS;darkturquoise;0,3938;0,7138;-0,087
ANGPTL1|O95841;ANGPTL1;NA;0,3950;0,7143;0,033
SUCO|Q9UBS9;SUCO;NA;0,3951;0,7143;-0,043
ECHS1|P30084;ECHS1;brown;0,3951;0,7143;-0,125
COL2A1|P02458;COL2A1;red;0,3964;0,7143;-0,039
SCLT1|Q96NL6;SCLT1;NA;0,3965;0,7143;-0,056
SPOCK1|Q08629;SPOCK1;blue;0,3969;0,7143;0,054
IGLV7-43|A0A0B4J1U2;IGLV7-43;NA;0,3970;0,7143;-0,164
DDT|J3KQ18;DDT;green;0,3972;0,7143;0,086
ABHD14B|Q96IU4;ABHD14B;saddlebrown;0,3973;0,7143;0,048
CD99|A0A096LP69;CD99;green;0,3974;0,7143;0,063
ACAT2|Q9BWD1;ACAT2;green;0,3974;0,7143;0,060
IL1RAPL1|Q9NZN1;IL1RAPL1;turquoise;0,3981;0,7143;-0,036
ST8SIA4|Q92187;ST8SIA4;NA;0,3982;0,7143;-0,048
ANXA11|P50995;ANXA11;magenta;0,3990;0,7143;-0,098
C4BPB|P20851;C4BPB;NA;0,3993;0,7143;-0,132
PTPRO|Q16827;PTPRO;turquoise;0,3996;0,7143;0,048
HLA-C|Q07000;HLA-C;lightgreen;0,3997;0,7143;0,147
C1QA|P02745;C1QA;darkgrey;0,3999;0,7143;0,038
MANEAL|Q5VSG8;MANEAL;NA;0,4000;0,7143;-0,035
CNTNAP4|E9PDN6;CNTNAP4;magenta;0,4001;0,7143;-0,049
LOR|P23490;LOR;NA;0,4001;0,7143;0,129
MGAT1|P26572;MGAT1;NA;0,4003;0,7143;-0,045
NRXN2|Q9P2S2-2;NRXN2;orange;0,4004;0,7143;-0,055
SLC38A10|Q9HBR0;SLC38A10;black;0,4004;0,7143;-0,029
SV2B|Q7L1I2;SV2B;turquoise;0,4004;0,7143;0,070
ADAMTS8|Q9UP79;ADAMTS8;NA;0,4007;0,7143;-0,043
ASPA|P45381;ASPA;yellow;0,4010;0,7143;0,075
LRP6|O75581;LRP6;darkmagenta;0,4010;0,7143;-0,048
CDHR5|Q9HBB8;CDHR5;NA;0,4019;0,7154;-0,075
PON2|Q15165;PON2;green;0,4027;0,7156;-0,126
RPS14|P62263;RPS14;magenta;0,4028;0,7156;-0,140
MYOM2|P54296;MYOM2;NA;0,4029;0,7156;0,058
MBL2|P11226;MBL2;NA;0,4030;0,7156;-0,121
CACNA2D3|Q8IZS8;CACNA2D3;turquoise;0,4036;0,7163;0,053
HNRNPM|A0A087X0X3;HNRNPM;darkgrey;0,4045;0,7175;0,134
MT1G|P13640;MT1G;yellow;0,4051;0,7175;-0,071
RNASET2|A0A087WZM2;RNASET2;green;0,4054;0,7175;0,039
CD63|P08962;CD63;NA;0,4055;0,7175;-0,075
SDK2|Q58EX2-4;SDK2;turquoise;0,4055;0,7175;-0,042
SORL1|Q92673;SORL1;blue;0,4062;0,7181;0,046
FAM73B|Q7L4E1-2;FAM73B;grey;0,4064;0,7181;-0,044
NOMO3|J3KN36;NOMO3;turquoise;0,4072;0,7190;-0,042
GFRA3|O60609;GFRA3;NA;0,4082;0,7203;-0,049
IFNGR1|P15260;IFNGR1;yellow;0,4089;0,7204;-0,048
SLC25A6|P12236;SLC25A6;turquoise;0,4089;0,7204;-0,077
CNDP1|J3KRP0;CNDP1;yellow;0,4089;0,7204;-0,079
NCAM1|P13591-1;NCAM1;grey;0,4096;0,7211;0,060
TNNI2|A0A087WXS0;TNNI2;NA;0,4104;0,7217;-0,104
H6PD|R4GMU1;H6PD;lightgreen;0,4104;0,7217;-0,061
EPHB1|P54762;EPHB1;greenyellow;0,4117;0,7235;-0,050
MYH7B|A0A087X0T3;MYH7B;lightgreen;0,4121;0,7235;0,141
SIGLEC14|Q08ET2;SIGLEC14;NA;0,4122;0,7235;0,108
CDH6|P55285;CDH6;brown;0,4130;0,7244;-0,041
HLA-A|P05534;HLA-A;blue;0,4138;0,7254;0,149
ST6GAL2|Q96JF0;ST6GAL2;NA;0,4142;0,7256;-0,041
PODN|Q7Z5L7-3;PODN;NA;0,4153;0,7271;-0,042
HLA-DRB1|Q9GIY3;HLA-DRB1;darkgrey;0,4160;0,7280;0,176
PLD4|F5H2B5;PLD4;NA;0,4174;0,7300;-0,060
TAF15|Q92804;TAF15;darkorange;0,4196;0,7327;-0,092
SYNJ2BP-COX16|A0A087WYV9;SYNJ2BP-COX16;grey60;0,4199;0,7327;-0,101
TMEM9|B1ALM5;TMEM9;grey;0,4200;0,7327;-0,064
RPLP0|P05388;RPLP0;black;0,4200;0,7327;-0,201
CTSH|P09668;CTSH;steelblue;0,4203;0,7328;-0,064
LRP4|O75096;LRP4;magenta;0,4208;0,7331;0,041
CCL14|Q16627;CCL14;NA;0,4222;0,7338;-0,072
GREM1|O60565;GREM1;NA;0,4224;0,7338;0,059
IDH2|P48735;IDH2;turquoise;0,4226;0,7338;-0,074
HSPG2|P98160;HSPG2;red;0,4228;0,7338;-0,025
ASPH|Q12797;ASPH;saddlebrown;0,4238;0,7338;-0,022
IGHG1|A0A087X010;IGHG1;midnightblue;0,4239;0,7338;0,060
SCGB1A1|P11684;SCGB1A1;NA;0,4240;0,7338;-0,126
SNAP25|P60880;SNAP25;black;0,4241;0,7338;-0,071
ACTB|P60709;ACTB;grey;0,4242;0,7338;-0,042
TSPAN4|J3KQ42;TSPAN4;NA;0,4243;0,7338;-0,145
PCDH18|Q9HCL0;PCDH18;NA;0,4244;0,7338;-0,029
B3GAT3|O94766;B3GAT3;pink;0,4247;0,7338;-0,029
TNFRSF19|Q9NS68;TNFRSF19;NA;0,4247;0,7338;-0,035
CRP|P02741;CRP;midnightblue;0,4247;0,7338;-0,232
SNAP91|O60641;SNAP91;turquoise;0,4257;0,7345;-0,061
PLBD1|Q6P4A8;PLBD1;NA;0,4259;0,7345;0,049
FCN3|O75636;FCN3;NA;0,4259;0,7345;-0,110
FGG|P02679;FGG;midnightblue;0,4271;0,7359;-0,140
ITM2C|Q9NQX7;ITM2C;black;0,4272;0,7359;0,029
SEL1L|Q9UBV2;SEL1L;black;0,4284;0,7363;0,034
FGFBP2|Q9BYJ0;FGFBP2;NA;0,4288;0,7363;0,183
SPPL2A|Q8TCT8;SPPL2A;NA;0,4288;0,7363;-0,063
WDR1|O75083;WDR1;pink;0,4289;0,7363;0,046
FGF12|P61328;FGF12;turquoise;0,4290;0,7363;0,151
GABRD|O14764;GABRD;turquoise;0,4290;0,7363;-0,050
HBEGF|Q99075;HBEGF;NA;0,4294;0,7363;0,049
S100A13|Q99584;S100A13;green;0,4295;0,7363;0,052
CEMIP|Q8WUJ3;CEMIP;NA;0,4305;0,7374;0,027
ATP5B|P06576;ATP5B;brown;0,4306;0,7374;-0,064
PAPLN|O95428;PAPLN;darkgreen;0,4309;0,7374;-0,049
ERBB4|Q15303;ERBB4;lightyellow;0,4315;0,7375;0,036
CDH23|A0A0A0MQS6;CDH23;NA;0,4315;0,7375;-0,039
RNASE6|Q93091;RNASE6;NA;0,4322;0,7380;0,035
RPL23|P62829;RPL23;black;0,4325;0,7380;-0,131
FAM3C|Q92520;FAM3C;black;0,4329;0,7380;-0,047
TENM2|Q9NT68;TENM2;turquoise;0,4330;0,7380;0,031
SLK|Q9H2G2;SLK;turquoise;0,4330;0,7380;0,053
RPL10|P27635;RPL10;turquoise;0,4336;0,7384;-0,164
C4A|P0C0L4;C4A;green;0,4345;0,7397;-0,082
CPPED1|Q9BRF8;CPPED1;yellow;0,4359;0,7409;0,041
ADCY5|O95622;ADCY5;turquoise;0,4360;0,7409;0,041
SLC12A5|Q9H2X9;SLC12A5;turquoise;0,4361;0,7409;0,043
DLST|P36957;DLST;brown;0,4370;0,7420;0,034
SEMA4A|Q9H3S1;SEMA4A;NA;0,4372;0,7421;-0,041
FBP1|P09467;FBP1;green;0,4381;0,7431;0,071
ANG|P03950;ANG;NA;0,4388;0,7431;-0,062
HSP90AB1|P08238;HSP90AB1;darkolivegreen;0,4389;0,7431;0,053
RNASE1|P07998;RNASE1;blue;0,4394;0,7431;0,038
ANK1|P16157-14;ANK1;red;0,4395;0,7431;-0,194
IGFBP7|Q16270;IGFBP7;red;0,4399;0,7431;-0,053
KRT3|P12035;KRT3;NA;0,4400;0,7431;-0,249
RGMA|A0A0A0MTQ4;RGMA;grey;0,4400;0,7431;-0,037
VPS26A|O75436;VPS26A;orange;0,4402;0,7431;0,054
LAMC1|P11047;LAMC1;red;0,4418;0,7453;0,023
RAB10|P61026;RAB10;grey;0,4424;0,7453;-0,071
DDR2|Q16832;DDR2;NA;0,4424;0,7453;-0,038
RHBG|A0A087WTF7;RHBG;NA;0,4427;0,7453;0,110
MOCS2|O96033;MOCS2;greenyellow;0,4428;0,7453;0,045
CYB5R3|P00387-3;CYB5R3;pink;0,4431;0,7455;-0,083
HLA-B|P30493;HLA-B;grey;0,4436;0,7458;0,218
C1R|B4DPQ0;C1R;midnightblue;0,4441;0,7461;-0,036
MCAM|P43121;MCAM;yellow;0,4444;0,7461;-0,029
ATIC|P31939;ATIC;blue;0,4446;0,7461;-0,109
C16orf91|Q4G0I0;C16orf91;NA;0,4450;0,7461;-0,046
MYO6|E7EW20;MYO6;yellow;0,4451;0,7461;0,066
COL3A1|P02461;COL3A1;NA;0,4456;0,7465;-0,032
PPP2R1A|P30153;PPP2R1A;darkturquoise;0,4462;0,7470;-0,063
CTBS|Q01459;CTBS;NA;0,4464;0,7470;-0,039
SHISA8|B8ZZ34;SHISA8;NA;0,4469;0,7473;-0,032
HBA2|P69905;HBA2;NA;0,4471;0,7473;-0,226
LY86|O95711;LY86;NA;0,4474;0,7474;-0,054
TMEM9B|Q9NQ34;TMEM9B;green;0,4479;0,7478;0,041
PDHA1|P08559-4;PDHA1;turquoise;0,4487;0,7485;-0,077
TMEFF1|Q8IYR6;TMEFF1;grey;0,4488;0,7485;0,039
NHLRC3|Q5JS37;NHLRC3;NA;0,4498;0,7497;-0,045
LCN2|X6R8F3;LCN2;skyblue3;0,4501;0,7497;-0,060
NENF|Q9UMX5;NENF;blue;0,4503;0,7497;0,029
BST2|Q10589;BST2;green;0,4506;0,7497;-0,047
SPINK6|Q6UWN8;SPINK6;NA;0,4520;0,7515;-0,067
PDIA3|H7BZJ3;PDIA3;grey;0,4528;0,7521;-0,060
TPBG|Q13641;TPBG;turquoise;0,4533;0,7521;-0,033
THSD4|Q6ZMP0;THSD4;NA;0,4535;0,7521;0,047
C1QTNF3|Q9BXJ4-3;C1QTNF3;NA;0,4544;0,7521;-0,059
TFPI|P10646;TFPI;NA;0,4544;0,7521;0,045
ADAMTSL3|P82987;ADAMTSL3;NA;0,4546;0,7521;-0,030
ACTR1A|P61163;ACTR1A;salmon;0,4547;0,7521;-0,082
CTSB|P07858;CTSB;magenta;0,4547;0,7521;0,073
MUCL1|Q96DR8;MUCL1;NA;0,4553;0,7521;0,062
RET|P07949;RET;NA;0,4554;0,7521;-0,029
PCDHB10|A0A0A0MTM6;PCDHB10;grey;0,4555;0,7521;-0,047
ATF6|P18850;ATF6;NA;0,4556;0,7521;-0,037
TMEM132A|Q24JP5-2;TMEM132A;grey;0,4557;0,7521;-0,024
B4GAT1|O43505;B4GAT1;royalblue;0,4579;0,7553;-0,041
NXPE3|Q969Y0;NXPE3;NA;0,4587;0,7560;0,029
APCS|P02743;APCS;midnightblue;0,4589;0,7560;-0,134
COCH|O43405;COCH;NA;0,4596;0,7568;0,043
UBA1|P22314;UBA1;salmon;0,4612;0,7591;-0,055
PDIA6|Q15084-2;PDIA6;grey;0,4618;0,7596;-0,029
MEGF8|M0QZL2;MEGF8;orangered4;0,4623;0,7597;0,044
EIF6|P56537;EIF6;lightcyan;0,4633;0,7597;-0,035
AMICA1|Q86YT9;AMICA1;NA;0,4633;0,7597;-0,069
CARTPT|Q16568;CARTPT;turquoise;0,4635;0,7597;-0,049
ERBB2|P04626;ERBB2;lightgreen;0,4639;0,7597;0,033
MIA|Q16674;MIA;NA;0,4640;0,7597;-0,091
MIA3|Q5JRA6;MIA3;violet;0,4645;0,7597;-0,024
NCL|P19338;NCL;lightcyan;0,4645;0,7597;-0,068
GXYLT1|Q4G148;GXYLT1;blue;0,4649;0,7597;-0,056
CRELD1|Q96HD1-2;CRELD1;turquoise;0,4649;0,7597;-0,051
SLC12A2|P55011;SLC12A2;salmon;0,4651;0,7597;-0,036
WBSCR17|Q6IS24;WBSCR17;NA;0,4651;0,7597;0,046
ADAM28|Q9UKQ2;ADAM28;NA;0,4653;0,7597;0,078
CDH5|P33151;CDH5;greenyellow;0,4667;0,7615;-0,039
RNASE4|P34096;RNASE4;blue;0,4677;0,7624;0,047
RPL13|P26373;RPL13;brown;0,4678;0,7624;-0,086
CELSR3|Q9NYQ7-2;CELSR3;NA;0,4681;0,7624;0,056
HCG22|E2RYF7;HCG22;NA;0,4683;0,7624;0,108
NDUFA4|O00483;NDUFA4;turquoise;0,4695;0,7639;-0,112
NRG3|P56975;NRG3;NA;0,4705;0,7650;-0,037
PKP1|Q13835-2;PKP1;NA;0,4709;0,7652;0,058
PSMB9|P28065;PSMB9;darkgrey;0,4712;0,7652;0,047
ERMN|Q8TAM6-2;ERMN;yellow;0,4717;0,7652;0,054
MARCO|Q9UEW3;MARCO;NA;0,4721;0,7652;-0,042
PDIA2|Q13087;PDIA2;NA;0,4721;0,7652;-0,064
TNFSF8|P32971;TNFSF8;NA;0,4721;0,7652;0,040
EPHA10|Q5JZY3-2;EPHA10;NA;0,4727;0,7657;-0,228
MAP2K1|Q02750;MAP2K1;grey;0,4742;0,7677;0,134
NOTCH2|Q04721;NOTCH2;lightgreen;0,4756;0,7694;-0,022
SAA2|P0DJI9;SAA2;red;0,4759;0,7695;-0,157
0|P01703;0;NA;0,4762;0,7695;0,137
RPS7|P62081;RPS7;magenta;0,4769;0,7695;-0,071
RHOA|P61586;RHOA;yellow;0,4769;0,7695;-0,068
GFRA2|O00451;GFRA2;brown;0,4769;0,7695;-0,056
CPM|P14384;CPM;yellow;0,4775;0,7700;-0,040
LFNG|Q8NES3;LFNG;NA;0,4780;0,7700;-0,027
SULF1|Q8IWU6;SULF1;NA;0,4783;0,7700;0,040
0|H0Y3Z8;0;NA;0,4784;0,7700;-0,058
ALDH2|P05091;ALDH2;skyblue3;0,4786;0,7700;-0,051
TXNDC12|O95881;TXNDC12;magenta;0,4794;0,7709;0,028
WIF1|Q9Y5W5;WIF1;NA;0,4797;0,7709;-0,056
ANP32A|P39687;ANP32A;green;0,4806;0,7719;-0,053
MANBA|O00462;MANBA;NA;0,4811;0,7722;-0,034
ACTN4|O43707;ACTN4;turquoise;0,4815;0,7724;-0,038
AMY2B|P19961;AMY2B;NA;0,4817;0,7724;-0,027
GPC4|O75487;GPC4;pink;0,4825;0,7730;-0,038
HRSP12|P52758;HRSP12;yellow;0,4826;0,7730;-0,027
SPARCL1|F5H1Y9;SPARCL1;yellow;0,4840;0,7748;0,060
SLPI|P03973;SLPI;NA;0,4845;0,7752;-0,058
MGARP|Q8TDB4;MGARP;red;0,4854;0,7757;-0,054
PHB2|Q99623;PHB2;brown;0,4857;0,7757;0,052
GPRC5B|Q9NZH0-2;GPRC5B;blue;0,4861;0,7757;0,047
SFXN1|Q9H9B4;SFXN1;turquoise;0,4862;0,7757;-0,118
NXPH3|D6RGW2;NXPH3;NA;0,4866;0,7757;-0,045
RPS12|P25398;RPS12;magenta;0,4867;0,7757;-0,099
SERPINA1|P01009;SERPINA1;midnightblue;0,4868;0,7757;-0,074
MEGF8|Q7Z7M0;MEGF8;orangered4;0,4874;0,7760;-0,026
MXRA5|Q9NR99;MXRA5;NA;0,4875;0,7760;-0,067
CNTFR|P26992;CNTFR;grey;0,4880;0,7765;-0,017
VLDLR|P98155;VLDLR;turquoise;0,4885;0,7765;0,024
STMN2|Q93045-2;STMN2;grey;0,4888;0,7765;-0,048
HYAL1|Q12794;HYAL1;NA;0,4889;0,7765;-0,038
BPNT1|O95861;BPNT1;pink;0,4895;0,7766;-0,024
CD99|P14209;CD99;darkgrey;0,4897;0,7766;-0,084
QPRT|Q15274;QPRT;darkgrey;0,4898;0,7766;0,057
IGHV3OR16-12|A0A075B7B8;IGHV3OR16-12;midnightblue;0,4900;0,7766;0,139
SERPINB1|P30740;SERPINB1;darkred;0,4908;0,7774;0,027
SHISA5|Q8N114;SHISA5;NA;0,4913;0,7774;-0,034
PSMA2|P25787;PSMA2;darkorange;0,4913;0,7774;0,054
HMGA1|P17096-3;HMGA1;green;0,4924;0,7784;0,073
CADM1|Q9BY67-5;CADM1;turquoise;0,4926;0,7784;0,024
C14orf37|Q86TY3;C14orf37;NA;0,4930;0,7784;0,033
PTK7|Q13308-6;PTK7;red;0,4930;0,7784;-0,027
CTHRC1|Q96CG8;CTHRC1;green;0,4935;0,7787;-0,045
KIAA0319|Q5VV43;KIAA0319;NA;0,4941;0,7790;-0,056
ENTPD1|P49961-6;ENTPD1;grey;0,4942;0,7790;-0,033
POFUT1|Q9H488;POFUT1;pink;0,4945;0,7790;-0,038
CLEC5A|Q9NY25;CLEC5A;NA;0,4948;0,7790;-0,081
PTPRT|B1AJR9;PTPRT;turquoise;0,4955;0,7798;-0,035
IFI27L2|Q9H2X8;IFI27L2;NA;0,4973;0,7816;-0,049
PCDHB5|Q9Y5E4;PCDHB5;NA;0,4974;0,7816;0,023
MMP17|Q9ULZ9;MMP17;grey;0,4980;0,7816;0,051
PTPRD|P23468-4;PTPRD;purple;0,4980;0,7816;-0,033
MGAT3|Q09327;MGAT3;NA;0,4984;0,7816;0,036
SLC24A2|Q9UI40;SLC24A2;turquoise;0,4987;0,7816;-0,033
LYPD3|O95274;LYPD3;NA;0,4987;0,7816;-0,050
APEH|C9JIF9;APEH;red;0,4989;0,7816;-0,112
HIST1H2AE|P04908;HIST1H2AE;NA;0,4993;0,7819;-0,108
CYTL1|Q9NRR1;CYTL1;NA;0,4997;0,7820;0,047
KRT25|Q7Z3Z0;KRT25;NA;0,5001;0,7822;-0,077
PODXL|O00592;PODXL;grey;0,5003;0,7822;0,044
MPST|P25325-2;MPST;blue;0,5010;0,7829;-0,096
TM9SF3|Q9HD45;TM9SF3;green;0,5021;0,7837;0,028
MEGF6|O75095;MEGF6;NA;0,5021;0,7837;0,063
